"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"772","20141125_wendy_baseline1",3860000,"64m20s","","","","",""
"790","20141125_wendy_baseline1",3950000,"65m50s","","","","",""
"793","20141125_wendy_baseline1",3965000,"66m5s","","","","",""
"801","20141125_wendy_baseline1",4005000,"66m45s","","","","",""
"802","20141125_wendy_baseline1",4010000,"66m50s","","","","",""
"804","20141125_wendy_baseline1",4020000,"67m0s","","","","",""
"805","20141125_wendy_baseline1",4025000,"67m5s","","","","",""
"806","20141125_wendy_baseline1",4030000,"67m10s","","","","",""
"811","20141125_wendy_baseline1",4055000,"67m35s","","","","",""
"814","20141125_wendy_baseline1",4070000,"67m50s","","","","",""
"817","20141125_wendy_baseline1",4085000,"68m5s","","","","",""
"832","20141125_wendy_baseline1",4160000,"69m20s","","","","",""
"855","20141125_wendy_baseline1",4275000,"71m15s","","","","",""
"2","20141128_Wendy_baseline2",10000,"0m10s","","","","",""
"23","20141128_Wendy_baseline2",115000,"1m55s","","","","",""
"241","20141128_Wendy_baseline2",120000,"2m0s","","","","",""
"25","20141128_Wendy_baseline2",125000,"2m5s","","","","",""
"26","20141128_Wendy_baseline2",130000,"2m10s","","","","",""
"28","20141128_Wendy_baseline2",140000,"2m20s","","","","",""
"41","20141128_Wendy_baseline2",205000,"3m25s","","","","",""
"42","20141128_Wendy_baseline2",210000,"3m30s","","","","",""
"43","20141128_Wendy_baseline2",215000,"3m35s","","","","",""
"56","20141128_Wendy_baseline2",280000,"4m40s","","","","",""
"62","20141128_Wendy_baseline2",310000,"5m10s","","","","",""
"63","20141128_Wendy_baseline2",315000,"5m15s","","","","",""
"64","20141128_Wendy_baseline2",320000,"5m20s","","","","",""
"66","20141128_Wendy_baseline2",330000,"5m30s","","","","",""
"67","20141128_Wendy_baseline2",335000,"5m35s","","","","",""
"68","20141128_Wendy_baseline2",340000,"5m40s","","","","",""
"701","20141128_Wendy_baseline2",350000,"5m50s","","","","",""
"72","20141128_Wendy_baseline2",360000,"6m0s","","","","",""
"841","20141128_Wendy_baseline2",420000,"7m0s","","","","",""
"851","20141128_Wendy_baseline2",425000,"7m5s","","","","",""
"93","20141128_Wendy_baseline2",465000,"7m45s","","","","",""
"961","20141128_Wendy_baseline2",480000,"8m0s","","","","",""
"97","20141128_Wendy_baseline2",485000,"8m5s","","","","",""
"98","20141128_Wendy_baseline2",490000,"8m10s","","","","",""
"101","20141128_Wendy_baseline2",505000,"8m25s","","","","",""
"1311","20141128_Wendy_baseline2",655000,"10m55s","","","","",""
"132","20141128_Wendy_baseline2",660000,"11m0s","","","","",""
"136","20141128_Wendy_baseline2",680000,"11m20s","","","","",""
"137","20141128_Wendy_baseline2",685000,"11m25s","","","","",""
"138","20141128_Wendy_baseline2",690000,"11m30s","","","","",""
"142","20141128_Wendy_baseline2",710000,"11m50s","","","","",""
