Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Fixation Start [ms],Fixation Duration [ms],Fixation End [ms],Position X,Position Y,Average Pupil Size [px] X,Average Pupil Size [px] Y,Average Pupil Diameter [mm],Dispersion X,Dispersion Y,Eye,Number,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,264,233,497,1084.6,836.8,43.1,41.4,-,37.0,18.0,Binocular,1,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1228,69,1298,501.5,-55.6,16.5,15.0,-,25.0,0.0,Binocular,2,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1361,133,1495,572.4,-45.8,22.6,15.6,-,6.0,4.0,Binocular,3,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1561,66,1628,602.2,-68.4,22.8,15.3,-,15.0,8.0,Binocular,4,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1863,65,1928,0.0,0.0,0.0,0.0,-,0.0,0.0,Binocular,5,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2194,100,2294,617.5,-23.3,26.5,18.7,-,22.0,20.0,Binocular,6,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2360,66,2426,632.4,-26.1,27.3,18.5,-,0.0,1.0,Binocular,7,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2526,100,2626,620.3,-22.9,27.5,18.5,-,10.0,7.0,Binocular,8,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2694,98,2792,586.7,5.4,24.8,18.0,-,14.0,12.0,Binocular,9,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2859,66,2925,604.8,-8.6,31.5,17.8,-,5.0,2.0,Binocular,10,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3358,133,3491,624.3,-48.0,27.8,17.8,-,11.0,5.0,Binocular,11,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3558,65,3624,598.1,-27.9,27.5,17.8,-,10.0,6.0,Binocular,12,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3690,99,3790,603.1,-34.2,27.3,18.5,-,17.0,14.0,Binocular,13,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3857,101,3958,615.6,-43.1,35.5,19.2,-,16.0,8.0,Binocular,14,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4023,66,4090,613.2,-51.7,33.0,18.0,-,13.0,0.0,Binocular,15,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4256,199,4456,589.0,-42.2,24.8,16.6,-,12.0,11.0,Binocular,16,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4523,132,4655,604.3,-78.8,24.9,15.6,-,10.0,14.0,Binocular,17,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4722,199,4921,598.7,-85.1,26.4,16.9,-,10.0,12.0,Binocular,18,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4988,168,5157,592.0,-83.8,25.1,16.0,-,45.0,38.0,Binocular,19,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,5222,65,5288,585.8,-84.2,24.0,15.3,-,4.0,0.0,Binocular,20,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,5654,199,5853,597.8,-76.7,24.7,15.7,-,10.0,6.0,Binocular,21,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,5920,66,5986,617.5,-73.3,26.3,16.8,-,0.0,0.0,Binocular,22,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,6055,97,6153,627.5,-75.5,25.7,16.5,-,23.0,17.0,Binocular,23,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,6219,99,6319,627.4,-68.2,26.7,17.3,-,17.0,17.0,Binocular,24,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,6385,100,6486,618.3,-59.5,27.3,17.7,-,16.0,9.0,Binocular,25,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,6719,132,6851,636.4,-68.2,27.3,18.0,-,8.0,0.0,Binocular,26,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,6918,99,7018,623.7,-68.8,27.7,17.7,-,6.0,3.0,Binocular,27,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7084,99,7184,628.9,-74.2,27.8,17.7,-,0.0,1.0,Binocular,28,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7250,67,7318,635.2,-81.0,26.8,16.0,-,9.0,5.0,Binocular,29,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7384,66,7450,633.2,-97.7,28.5,17.3,-,2.0,1.0,Binocular,30,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7650,69,7719,785.1,-14.7,77.5,47.8,-,4.0,14.0,Binocular,31,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7816,66,7883,816.7,180.9,83.0,57.8,-,5.0,4.0,Binocular,32,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,7950,265,8216,834.2,108.5,82.1,56.4,-,18.0,51.0,Binocular,33,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,8282,202,8485,771.7,86.9,81.1,54.8,-,6.0,14.0,Binocular,34,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,8615,731,9347,777.5,54.4,81.8,54.0,-,16.0,22.0,Binocular,35,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,9483,229,9713,771.7,43.3,83.5,54.5,-,8.0,3.0,Binocular,36,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,9782,104,9886,749.3,25.5,84.0,55.7,-,0.0,1.0,Binocular,37,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,9945,66,10012,769.5,32.5,85.0,55.5,-,2.0,0.0,Binocular,38,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,10078,99,10178,777.8,36.8,86.5,55.5,-,1.0,3.0,Binocular,39,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,10411,99,10511,747.1,20.9,86.8,55.8,-,9.0,15.0,Binocular,40,
