Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,19791,66,19858,983.4,1355.1,974.3,1332.0,1.3,-,-,-,-,-,-,Binocular,36,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,19893,65,19959,1004.2,1182.6,976.7,1320.3,13.1,-,-,-,-,-,-,Binocular,37,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,19959,65,20024,979.4,1318.8,1007.3,1176.5,7.0,-,-,-,-,-,-,Binocular,38,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20190,66,20256,967.7,1299.8,973.5,1321.3,1.3,-,-,-,-,-,-,Binocular,39,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20324,65,20390,978.1,1359.2,1013.2,1247.9,6.4,-,-,-,-,-,-,Binocular,40,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20390,66,20456,1016.4,1250.6,989.3,1404.6,7.4,-,-,-,-,-,-,Binocular,41,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20456,66,20523,990.7,1404.7,1009.2,1274.5,6.2,-,-,-,-,-,-,Binocular,42,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20523,66,20589,1038.1,1310.7,1017.5,1514.9,11.6,-,-,-,-,-,-,Binocular,43,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20656,100,20757,1008.5,1507.9,1007.4,1516.1,43.5,-,-,-,-,-,-,Binocular,44,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,20757,65,20823,1002.9,1509.1,1059.7,1367.4,7.5,-,-,-,-,-,-,Binocular,45,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,21022,66,21088,955.6,1468.7,968.2,1470.9,0.9,-,-,-,-,-,-,Binocular,46,
