Trial,Subject,Color,Name,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,639923,66,639989,940.4,437.7,835.7,458.1,7.2,-,-,-,-,-,-,Binocular,2036,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,640255,99,640355,928.7,439.1,1072.9,410.2,7.3,-,-,-,-,-,-,Binocular,2037,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,640488,66,640555,1013.0,426.1,916.4,434.0,7.5,-,-,-,-,-,-,Binocular,2038,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,640688,133,640821,1058.2,414.2,454.2,517.2,31.4,-,-,-,-,-,-,Binocular,2039,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,640921,99,641021,316.8,577.8,563.8,497.0,14.5,-,-,-,-,-,-,Binocular,2040,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,641120,66,641187,688.3,470.7,556.8,541.1,8.9,-,-,-,-,-,-,Binocular,2041,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,641819,66,641886,1330.6,421.3,1814.0,432.6,37.6,-,-,-,-,-,-,Binocular,2042,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,641919,99,642019,1939.4,455.4,1372.0,437.0,40.0,-,-,-,-,-,-,Binocular,2043,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,642352,66,642418,1129.1,405.5,1266.8,398.5,7.9,-,-,-,-,-,-,Binocular,2044,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,642651,133,642784,1399.8,419.9,-140.2,624.2,75.5,-,-,-,-,-,-,Binocular,2045,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,643184,99,643283,847.6,351.9,1059.8,296.3,20.2,-,-,-,-,-,-,Binocular,2046,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,643882,99,643982,796.8,419.6,589.8,520.2,17.1,-,-,-,-,-,-,Binocular,2047,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,644215,66,644282,809.0,457.6,957.2,439.9,7.8,-,-,-,-,-,-,Binocular,2048,
