Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,0,67,67,1053.9,875.4,985.4,710.2,8.9,-,-,-,-,-,-,Binocular,1,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,97,66,164,969.7,711.9,1005.9,610.5,5.2,-,-,-,-,-,-,Binocular,2,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,164,99,264,1022.2,625.6,1065.4,825.5,27.3,-,-,-,-,-,-,Binocular,3,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,497,99,596,1114.3,818.9,0.0,0.0,194.3,-,-,-,-,-,-,Binocular,4,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,630,68,699,287.6,-286.2,0.0,0.0,38.2,-,-,-,-,-,-,Binocular,5,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,699,63,763,0.0,0.0,477.5,111.6,23.7,-,-,-,-,-,-,Binocular,6,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,763,66,829,0.0,0.0,538.5,67.8,46.8,-,-,-,-,-,-,Binocular,7,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,862,81,944,562.5,19.6,0.0,0.0,32.6,-,-,-,-,-,-,Binocular,8,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,944,85,1030,0.0,0.0,544.6,16.7,21.1,-,-,-,-,-,-,Binocular,9,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1030,65,1095,547.8,-2.1,0.0,0.0,26.1,-,-,-,-,-,-,Binocular,10,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1162,66,1228,0.0,0.0,535.9,9.1,24.6,-,-,-,-,-,-,Binocular,11,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1298,63,1361,460.0,-64.6,601.1,-70.4,7.7,-,-,-,-,-,-,Binocular,12,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1495,65,1561,569.1,-46.1,602.7,-72.5,2.0,-,-,-,-,-,-,Binocular,13,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1628,99,1727,588.9,-57.7,0.0,0.0,83.7,-,-,-,-,-,-,Binocular,14,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1794,68,1863,562.0,-34.5,0.0,0.0,52.6,-,-,-,-,-,-,Binocular,15,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,1928,99,2027,0.0,0.0,575.0,-32.3,78.6,-,-,-,-,-,-,Binocular,16,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2062,65,2127,571.3,-16.9,508.4,-70.2,4.5,-,-,-,-,-,-,Binocular,17,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2127,66,2194,534.3,-50.8,618.3,-36.8,5.4,-,-,-,-,-,-,Binocular,18,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2294,65,2360,630.9,-31.6,607.0,-13.1,2.0,-,-,-,-,-,-,Binocular,19,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2426,99,2526,614.9,-16.6,615.4,-19.5,6.9,-,-,-,-,-,-,Binocular,20,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2626,67,2694,631.1,-30.6,606.9,-5.3,2.3,-,-,-,-,-,-,Binocular,21,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2792,66,2859,592.4,-1.2,605.4,-19.2,1.9,-,-,-,-,-,-,Binocular,22,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,2925,66,2992,595.2,-5.8,583.5,5.7,1.4,-,-,-,-,-,-,Binocular,23,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3025,66,3092,659.0,640.4,595.3,-11.8,60.0,-,-,-,-,-,-,Binocular,24,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3158,66,3225,610.1,-24.9,659.7,645.9,30.9,-,-,-,-,-,-,Binocular,25,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3258,99,3358,658.6,648.3,631.5,-51.5,95.3,-,-,-,-,-,-,Binocular,26,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3491,67,3558,638.8,-65.4,601.1,-32.2,3.6,-,-,-,-,-,-,Binocular,27,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3624,66,3690,590.3,-23.0,620.5,-42.3,2.4,-,-,-,-,-,-,Binocular,28,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3790,66,3857,604.4,-32.5,629.2,-47.5,1.8,-,-,-,-,-,-,Binocular,29,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,3958,65,4023,600.7,-32.3,617.3,-50.7,1.6,-,-,-,-,-,-,Binocular,30,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4090,66,4156,603.8,-45.2,615.2,-47.5,0.9,-,-,-,-,-,-,Binocular,31,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4189,66,4256,616.1,-53.9,659.7,650.4,33.0,-,-,-,-,-,-,Binocular,32,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4456,67,4523,586.0,-42.6,596.1,-62.9,1.4,-,-,-,-,-,-,Binocular,33,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4655,66,4722,641.1,-96.7,606.4,-79.7,3.5,-,-,-,-,-,-,Binocular,34,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,4921,66,4988,595.2,-79.5,609.2,-103.2,1.4,-,-,-,-,-,-,Binocular,35,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,5157,65,5222,570.5,-63.9,580.0,-81.1,1.3,-,-,-,-,-,-,Binocular,36,
Trial001,pierre2,Coral,pierre2-1-recording.avi,0,2689599,5288,102,5390,595.5,-78.5,0.0,0.0,69.9,-,-,-,-,-,-,Binocular,37,
