"","Time.ms","Time.min","Session","Load"
"1",145000,"2m25s","6",4
"2",150000,"2m30s","6",4
"3",155000,"2m35s","6",4
"4",160000,"2m40s","6",4
"5",165000,"2m45s","6",4
"6",175000,"2m55s","6",4
"7",190000,"3m10s","6",4
"8",195000,"3m15s","6",4
"9",2e+05,"3m20s","6",4
"10",205000,"3m25s","6",4
"11",210000,"3m30s","6",4
"12",215000,"3m35s","6",4
"13",450000,"7m30s","6",4
"14",455000,"7m35s","6",4
"15",460000,"7m40s","6",4
"16",775000,"12m55s","6",4
"17",780000,"13m0s","6",4
"18",785000,"13m5s","6",4
"19",855000,"14m15s","6",4
"20",860000,"14m20s","6",4
"21",1245000,"20m45s","6",4
"22",1935000,"32m15s","6",4
"23",2120000,"35m20s","6",4
"24",2125000,"35m25s","6",4
"25",2130000,"35m30s","6",4
"26",2135000,"35m35s","6",4
"27",2140000,"35m40s","6",4
"28",2280000,"38m0s","6",4
"29",2530000,"42m10s","6",4
"30",2545000,"42m25s","6",4
"31",2550000,"42m30s","6",4
"32",2555000,"42m35s","6",4
