"","Time.ms","Time.min","Session","Load"
"1",60000,"1m0s","4",3
"2",65000,"1m5s","4",3
"3",70000,"1m10s","4",3
"4",75000,"1m15s","4",3
"5",80000,"1m20s","4",3
"6",85000,"1m25s","4",3
"7",90000,"1m30s","4",3
"8",95000,"1m35s","4",3
"9",1e+05,"1m40s","4",3
"10",105000,"1m45s","4",3
"11",135000,"2m15s","4",3
"12",140000,"2m20s","4",3
"13",145000,"2m25s","4",3
"14",150000,"2m30s","4",3
"15",155000,"2m35s","4",3
"16",175000,"2m55s","4",3
"17",180000,"3m0s","4",3
"18",185000,"3m5s","4",3
"19",190000,"3m10s","4",3
"20",195000,"3m15s","4",3
"21",2e+05,"3m20s","4",3
"22",220000,"3m40s","4",3
"23",225000,"3m45s","4",3
"24",370000,"6m10s","4",3
"25",775000,"12m55s","4",3
"26",1020000,"17m0s","4",3
"27",1025000,"17m5s","4",3
"28",1050000,"17m30s","4",3
"29",1055000,"17m35s","4",3
"30",1060000,"17m40s","4",3
"31",1065000,"17m45s","4",3
"32",1070000,"17m50s","4",3
"33",1075000,"17m55s","4",3
"34",1200000,"20m0s","4",3
"35",1205000,"20m5s","4",3
"36",1210000,"20m10s","4",3
"37",1215000,"20m15s","4",3
"38",1240000,"20m40s","4",3
"39",1245000,"20m45s","4",3
"40",1250000,"20m50s","4",3
"41",1255000,"20m55s","4",3
"42",1260000,"21m0s","4",3
"43",1330000,"22m10s","4",3
"44",1395000,"23m15s","4",3
"45",1400000,"23m20s","4",3
"46",1405000,"23m25s","4",3
"47",1410000,"23m30s","4",3
"48",1415000,"23m35s","4",3
"49",1420000,"23m40s","4",3
"50",1425000,"23m45s","4",3
"51",1565000,"26m5s","4",3
"52",1570000,"26m10s","4",3
"53",1575000,"26m15s","4",3
"54",1580000,"26m20s","4",3
"55",1585000,"26m25s","4",3
"56",1590000,"26m30s","4",3
"57",1615000,"26m55s","4",3
"58",1755000,"29m15s","4",3
"59",1760000,"29m20s","4",3
"60",1770000,"29m30s","4",3
"61",1900000,"31m40s","4",3
"62",1905000,"31m45s","4",3
"63",1910000,"31m50s","4",3
"64",1915000,"31m55s","4",3
"65",1920000,"32m0s","4",3
"66",1925000,"32m5s","4",3
"67",1930000,"32m10s","4",3
"68",1935000,"32m15s","4",3
"69",1940000,"32m20s","4",3
"70",1945000,"32m25s","4",3
"71",1950000,"32m30s","4",3
"72",1955000,"32m35s","4",3
"73",1960000,"32m40s","4",3
"74",1965000,"32m45s","4",3
"75",2025000,"33m45s","4",3
"76",2090000,"34m50s","4",3
"77",2140000,"35m40s","4",3
"78",2145000,"35m45s","4",3
"79",2150000,"35m50s","4",3
