"","Time.ms","Time.min","Session","Load"
"1",350000,"5m50s","2",0
"2",355000,"5m55s","2",0
"3",360000,"6m0s","2",0
"4",450000,"7m30s","2",0
"5",455000,"7m35s","2",0
"6",460000,"7m40s","2",0
"7",540000,"9m0s","2",0
"8",680000,"11m20s","2",0
"9",685000,"11m25s","2",0
"10",690000,"11m30s","2",0
"11",695000,"11m35s","2",0
"12",7e+05,"11m40s","2",0
"13",705000,"11m45s","2",0
"14",710000,"11m50s","2",0
"15",715000,"11m55s","2",0
"16",750000,"12m30s","2",0
"17",755000,"12m35s","2",0
"18",760000,"12m40s","2",0
"19",765000,"12m45s","2",0
"20",770000,"12m50s","2",0
"21",830000,"13m50s","2",0
"22",835000,"13m55s","2",0
"23",840000,"14m0s","2",0
"24",845000,"14m5s","2",0
"25",850000,"14m10s","2",0
"26",890000,"14m50s","2",0
"27",9e+05,"15m0s","2",0
"28",905000,"15m5s","2",0
"29",910000,"15m10s","2",0
"30",925000,"15m25s","2",0
"31",935000,"15m35s","2",0
"32",1115000,"18m35s","2",0
"33",1260000,"21m0s","2",0
"34",1270000,"21m10s","2",0
"35",1275000,"21m15s","2",0
"36",1280000,"21m20s","2",0
"37",1330000,"22m10s","2",0
"38",1335000,"22m15s","2",0
"39",1340000,"22m20s","2",0
"40",1345000,"22m25s","2",0
"41",1405000,"23m25s","2",0
"42",1410000,"23m30s","2",0
"43",1415000,"23m35s","2",0
"44",1420000,"23m40s","2",0
"45",1525000,"25m25s","2",0
"46",1530000,"25m30s","2",0
"47",1550000,"25m50s","2",0
"48",1555000,"25m55s","2",0
"49",1560000,"26m0s","2",0
"50",1785000,"29m45s","2",0
"51",1790000,"29m50s","2",0
"52",1805000,"30m5s","2",0
"53",1820000,"30m20s","2",0
"54",1825000,"30m25s","2",0
"55",1830000,"30m30s","2",0
"56",1835000,"30m35s","2",0
"57",1910000,"31m50s","2",0
"58",1930000,"32m10s","2",0
"59",1935000,"32m15s","2",0
"60",1940000,"32m20s","2",0
"61",1945000,"32m25s","2",0
"62",1950000,"32m30s","2",0
"63",1955000,"32m35s","2",0
"64",2045000,"34m5s","2",0
"65",2050000,"34m10s","2",0
"66",2055000,"34m15s","2",0
"67",2060000,"34m20s","2",0
"68",2065000,"34m25s","2",0
"69",2200000,"36m40s","2",0
"70",2500000,"41m40s","2",0
"71",2515000,"41m55s","2",0
"72",2520000,"42m0s","2",0
