Frame.Number,Timestamp.ms,Max.Intensity,Min.Intensity
0,0,255,0
1,100,255,0
2,200,252,1
3,300,254,2
4,400,255,2
5,500,254,2
6,600,254,0
7,700,255,1
8,800,237,17
9,900,229,25
10,1000,255,5
11,1100,255,4
12,1200,252,0
13,1300,219,11
14,1400,216,24
15,1500,243,7
16,1600,249,3
17,1700,249,5
18,1800,255,7
19,1900,255,8
20,2000,255,6
21,2100,255,1
22,2200,255,4
23,2300,255,4
24,2400,255,0
25,2500,255,0
26,2600,255,7
27,2700,255,16
28,2800,255,19
29,2900,255,18
30,3000,255,19
31,3100,254,15
32,3200,248,15
33,3300,254,18
34,3400,255,12
35,3500,255,9
36,3600,255,9
37,3700,255,9
38,3800,255,9
39,3900,255,11
40,4000,255,11
41,4100,255,12
42,4200,255,7
43,4300,255,7
44,4400,255,7
45,4500,255,22
46,4600,255,23
47,4700,255,26
48,4800,255,25
49,4900,255,11
50,5000,255,10
51,5100,255,10
52,5200,255,8
53,5300,255,8
54,5400,255,8
55,5500,255,7
56,5600,255,4
57,5700,255,8
58,5800,255,8
59,5900,255,8
60,6000,255,8
61,6100,255,8
62,6200,255,8
63,6300,255,8
64,6400,255,17
65,6500,255,13
66,6600,255,8
67,6700,255,18
68,6800,255,16
69,6900,255,7
70,7000,255,7
71,7100,255,9
72,7200,255,9
73,7300,255,25
74,7400,255,23
75,7500,255,21
76,7600,255,16
77,7700,255,16
78,7800,255,8
79,7900,255,22
80,8000,255,21
81,8100,255,23
82,8200,255,21
83,8300,255,24
84,8400,255,10
85,8500,255,9
86,8600,255,11
87,8700,255,19
88,8800,255,26
89,8900,255,28
90,9000,255,29
91,9100,255,29
92,9200,255,30
93,9300,255,18
94,9400,255,30
95,9500,255,30
96,9600,255,23
97,9700,254,28
98,9800,255,29
99,9900,255,27
100,10000,255,29
101,10100,255,22
102,10200,255,31
103,10300,255,24
104,10400,255,18
105,10500,255,18
106,10600,255,19
107,10700,255,14
108,10800,255,14
109,10900,255,18
110,11000,255,17
111,11100,255,24
112,11200,255,30
113,11300,255,28
114,11400,255,26
115,11500,255,28
116,11600,255,26
117,11700,255,16
118,11800,255,19
119,11900,255,25
120,12000,255,25
121,12100,255,16
122,12200,255,15
123,12300,255,18
124,12400,255,12
125,12500,255,11
126,12600,255,16
127,12700,255,12
128,12800,255,12
129,12900,254,23
130,13000,255,1
131,13100,255,6
132,13200,251,22
133,13300,231,22
134,13400,220,19
135,13500,255,17
136,13600,230,19
137,13700,221,29
138,13800,216,22
139,13900,214,25
140,14000,212,18
141,14100,220,9
142,14200,218,1
143,14300,221,16
144,14400,251,12
145,14500,219,7
146,14600,215,13
147,14700,220,12
148,14800,213,10
149,14900,224,24
150,15000,248,19
151,15100,252,10
152,15200,250,14
153,15300,231,12
154,15400,229,22
155,15500,231,24
156,15600,250,30
157,15700,241,29
158,15800,253,24
159,15900,253,31
160,16000,253,33
161,16100,253,23
162,16200,254,22
163,16300,254,25
164,16400,254,17
165,16500,255,23
166,16600,255,13
167,16700,255,17
168,16800,255,14
169,16900,255,22
170,17000,255,13
171,17100,254,28
172,17200,255,26
173,17300,255,23
174,17400,254,23
175,17500,253,18
176,17600,252,8
177,17700,252,8
178,17800,254,6
179,17900,252,4
180,18000,250,2
181,18100,249,5
182,18200,245,8
183,18300,251,9
184,18400,243,3
185,18500,223,16
186,18600,245,18
187,18700,244,12
188,18800,248,14
189,18900,252,12
190,19000,240,12
191,19100,251,5
192,19200,248,9
193,19300,247,10
194,19400,245,10
195,19500,242,11
196,19600,237,11
197,19700,229,15
198,19800,229,16
199,19900,221,24
200,20000,224,23
201,20100,219,28
202,20200,217,28
203,20300,219,27
204,20400,255,45
205,20500,255,23
206,20600,255,32
207,20700,255,25
208,20800,255,22
209,20900,255,15
210,21000,255,5
211,21100,255,4
212,21200,255,8
213,21300,255,7
214,21400,255,9
215,21500,255,7
216,21600,255,9
217,21700,255,11
218,21800,255,18
219,21900,255,25
220,22000,255,18
221,22100,255,26
222,22200,255,29
223,22300,255,16
224,22400,255,5
225,22500,255,7
226,22600,255,12
227,22700,255,8
228,22800,255,7
229,22900,255,21
230,23000,255,13
231,23100,255,25
232,23200,255,22
233,23300,255,28
234,23400,255,11
235,23500,255,17
236,23600,255,22
237,23700,255,11
238,23800,255,8
239,23900,255,15
240,24000,255,14
241,24100,255,10
242,24200,255,25
243,24300,252,18
244,24400,255,7
245,24500,255,0
246,24600,255,7
247,24700,255,18
248,24800,255,18
249,24900,255,24
250,25000,255,17
251,25100,255,11
252,25200,255,9
253,25300,255,5
254,25400,255,10
255,25500,255,21
256,25600,255,26
257,25700,255,23
258,25800,255,16
259,25900,255,9
260,26000,255,0
261,26100,255,5
262,26200,255,10
263,26300,255,9
264,26400,255,11
265,26500,255,9
266,26600,255,10
267,26700,255,4
268,26800,255,1
269,26900,255,3
270,27000,255,4
271,27100,245,14
272,27200,254,7
273,27300,224,17
274,27400,213,14
275,27500,221,9
276,27600,217,8
277,27700,217,11
278,27800,221,15
279,27900,219,9
280,28000,222,4
281,28100,224,23
282,28200,255,24
283,28300,255,21
284,28400,255,23
285,28500,255,18
286,28600,255,12
287,28700,255,16
288,28800,255,16
289,28900,255,17
290,29000,255,7
291,29100,255,5
292,29200,255,19
293,29300,255,10
294,29400,255,9
295,29500,255,14
296,29600,255,12
297,29700,255,15
298,29800,255,4
299,29900,255,3
300,30000,255,6
301,30100,255,11
302,30200,255,11
303,30300,255,10
304,30400,255,12
305,30500,255,12
306,30600,255,9
307,30700,255,11
308,30800,255,14
309,30900,255,9
310,31000,255,9
311,31100,255,8
312,31200,255,20
313,31300,255,12
314,31400,255,15
315,31500,255,12
316,31600,255,4
317,31700,255,5
318,31800,255,11
319,31900,255,17
320,32000,255,16
321,32100,255,17
322,32200,255,19
323,32300,255,12
324,32400,255,4
325,32500,255,3
326,32600,255,14
327,32700,255,19
328,32800,255,19
329,32900,255,16
330,33000,255,10
331,33100,255,8
332,33200,255,3
333,33300,255,5
334,33400,255,4
335,33500,255,10
336,33600,255,11
337,33700,255,11
338,33800,255,9
339,33900,255,16
340,34000,255,2
341,34100,255,8
342,34200,255,5
343,34300,255,9
344,34400,255,7
345,34500,255,12
346,34600,255,6
347,34700,255,9
348,34800,255,11
349,34900,255,4
350,35000,255,7
351,35100,255,10
352,35200,255,5
353,35300,255,12
354,35400,255,14
355,35500,255,12
356,35600,255,3
357,35700,255,6
358,35800,255,0
359,35900,255,4
360,36000,255,10
361,36100,255,10
362,36200,255,10
363,36300,255,4
364,36400,255,5
365,36500,255,9
366,36600,255,10
367,36700,255,6
368,36800,255,4
369,36900,255,8
370,37000,255,6
