"","Time.ms","Time.min","Session","Load"
"1",80000,"1m20s","3",0
"2",85000,"1m25s","3",0
"3",90000,"1m30s","3",0
"4",165000,"2m45s","3",0
"5",170000,"2m50s","3",0
"6",175000,"2m55s","3",0
"7",180000,"3m0s","3",0
"8",185000,"3m5s","3",0
"9",3e+05,"5m0s","3",0
"10",305000,"5m5s","3",0
"11",565000,"9m25s","3",0
"12",570000,"9m30s","3",0
"13",575000,"9m35s","3",0
"14",580000,"9m40s","3",0
"15",765000,"12m45s","3",0
"16",770000,"12m50s","3",0
"17",775000,"12m55s","3",0
"18",825000,"13m45s","3",0
"19",830000,"13m50s","3",0
"20",835000,"13m55s","3",0
"21",840000,"14m0s","3",0
"22",845000,"14m5s","3",0
"23",850000,"14m10s","3",0
"24",855000,"14m15s","3",0
"25",995000,"16m35s","3",0
"26",1e+06,"16m40s","3",0
"27",1035000,"17m15s","3",0
"28",1040000,"17m20s","3",0
"29",1045000,"17m25s","3",0
"30",1050000,"17m30s","3",0
"31",1100000,"18m20s","3",0
"32",1105000,"18m25s","3",0
"33",1110000,"18m30s","3",0
"34",1115000,"18m35s","3",0
"35",1120000,"18m40s","3",0
"36",1125000,"18m45s","3",0
"37",1130000,"18m50s","3",0
"38",1135000,"18m55s","3",0
"39",1155000,"19m15s","3",0
"40",1170000,"19m30s","3",0
"41",1175000,"19m35s","3",0
"42",1180000,"19m40s","3",0
"43",1185000,"19m45s","3",0
"44",1190000,"19m50s","3",0
"45",1195000,"19m55s","3",0
"46",1405000,"23m25s","3",0
"47",1475000,"24m35s","3",0
"48",1480000,"24m40s","3",0
"49",1485000,"24m45s","3",0
"50",1490000,"24m50s","3",0
"51",1495000,"24m55s","3",0
"52",1500000,"25m0s","3",0
"53",1505000,"25m5s","3",0
"54",1510000,"25m10s","3",0
"55",1515000,"25m15s","3",0
"56",1520000,"25m20s","3",0
"57",1525000,"25m25s","3",0
"58",1530000,"25m30s","3",0
"59",1535000,"25m35s","3",0
"60",1540000,"25m40s","3",0
"61",1545000,"25m45s","3",0
"62",1550000,"25m50s","3",0
"63",1555000,"25m55s","3",0
"64",1560000,"26m0s","3",0
"65",1705000,"28m25s","3",0
"66",1710000,"28m30s","3",0
"67",1715000,"28m35s","3",0
"68",1720000,"28m40s","3",0
"69",1725000,"28m45s","3",0
"70",1730000,"28m50s","3",0
"71",1735000,"28m55s","3",0
"72",1870000,"31m10s","3",0
"73",1875000,"31m15s","3",0
"74",1880000,"31m20s","3",0
"75",1885000,"31m25s","3",0
"76",1890000,"31m30s","3",0
"77",1895000,"31m35s","3",0
"78",1900000,"31m40s","3",0
"79",1905000,"31m45s","3",0
"80",1910000,"31m50s","3",0
"81",1955000,"32m35s","3",0
"82",1960000,"32m40s","3",0
