"","Time.ms","Time.min","Session","Load"
"1",85000,"1m25s","2",4
"2",90000,"1m30s","2",4
"3",155000,"2m35s","2",4
"4",165000,"2m45s","2",4
"5",170000,"2m50s","2",4
"6",185000,"3m5s","2",4
"7",210000,"3m30s","2",4
"8",220000,"3m40s","2",4
"9",225000,"3m45s","2",4
"10",230000,"3m50s","2",4
"11",235000,"3m55s","2",4
"12",240000,"4m0s","2",4
"13",250000,"4m10s","2",4
"14",875000,"14m35s","2",4
"15",990000,"16m30s","2",4
"16",995000,"16m35s","2",4
"17",1e+06,"16m40s","2",4
"18",1005000,"16m45s","2",4
"19",1010000,"16m50s","2",4
"20",1015000,"16m55s","2",4
"21",1020000,"17m0s","2",4
"22",1030000,"17m10s","2",4
"23",1035000,"17m15s","2",4
"24",1200000,"20m0s","2",4
"25",1205000,"20m5s","2",4
"26",1210000,"20m10s","2",4
"27",1215000,"20m15s","2",4
"28",1230000,"20m30s","2",4
"29",1235000,"20m35s","2",4
"30",1635000,"27m15s","2",4
"31",1640000,"27m20s","2",4
"32",1655000,"27m35s","2",4
"33",1660000,"27m40s","2",4
"34",1665000,"27m45s","2",4
"35",1690000,"28m10s","2",4
"36",1720000,"28m40s","2",4
"37",1730000,"28m50s","2",4
"38",1735000,"28m55s","2",4
"39",1740000,"29m0s","2",4
"40",1745000,"29m5s","2",4
"41",2120000,"35m20s","2",4
"42",2125000,"35m25s","2",4
"43",2290000,"38m10s","2",4
"44",2295000,"38m15s","2",4
"45",2300000,"38m20s","2",4
"46",2315000,"38m35s","2",4
"47",2480000,"41m20s","2",4
"48",2485000,"41m25s","2",4
"49",2490000,"41m30s","2",4
"50",2495000,"41m35s","2",4
"51",2550000,"42m30s","2",4
"52",2560000,"42m40s","2",4
"53",2570000,"42m50s","2",4
"54",2575000,"42m55s","2",4
"55",2595000,"43m15s","2",4
"56",2675000,"44m35s","2",4
"57",2740000,"45m40s","2",4
"58",2790000,"46m30s","2",4
