"","Time.ms","Time.min","Session","Load"
"1",285000,"4m45s","4",0
"2",330000,"5m30s","4",0
"3",335000,"5m35s","4",0
"4",340000,"5m40s","4",0
"5",455000,"7m35s","4",0
"6",460000,"7m40s","4",0
"7",530000,"8m50s","4",0
"8",535000,"8m55s","4",0
"9",540000,"9m0s","4",0
"10",590000,"9m50s","4",0
"11",595000,"9m55s","4",0
"12",6e+05,"10m0s","4",0
"13",605000,"10m5s","4",0
"14",610000,"10m10s","4",0
"15",615000,"10m15s","4",0
"16",620000,"10m20s","4",0
"17",635000,"10m35s","4",0
"18",640000,"10m40s","4",0
"19",645000,"10m45s","4",0
"20",650000,"10m50s","4",0
"21",655000,"10m55s","4",0
"22",660000,"11m0s","4",0
"23",665000,"11m5s","4",0
"24",670000,"11m10s","4",0
"25",715000,"11m55s","4",0
"26",750000,"12m30s","4",0
"27",755000,"12m35s","4",0
"28",865000,"14m25s","4",0
"29",870000,"14m30s","4",0
"30",875000,"14m35s","4",0
"31",880000,"14m40s","4",0
"32",885000,"14m45s","4",0
"33",890000,"14m50s","4",0
"34",895000,"14m55s","4",0
"35",9e+05,"15m0s","4",0
"36",905000,"15m5s","4",0
"37",910000,"15m10s","4",0
"38",915000,"15m15s","4",0
"39",920000,"15m20s","4",0
"40",925000,"15m25s","4",0
"41",930000,"15m30s","4",0
"42",935000,"15m35s","4",0
"43",940000,"15m40s","4",0
"44",945000,"15m45s","4",0
"45",950000,"15m50s","4",0
"46",955000,"15m55s","4",0
"47",960000,"16m0s","4",0
"48",975000,"16m15s","4",0
"49",980000,"16m20s","4",0
"50",985000,"16m25s","4",0
"51",1110000,"18m30s","4",0
"52",1115000,"18m35s","4",0
"53",1120000,"18m40s","4",0
"54",1125000,"18m45s","4",0
"55",1130000,"18m50s","4",0
"56",1135000,"18m55s","4",0
"57",1140000,"19m0s","4",0
"58",1145000,"19m5s","4",0
"59",1150000,"19m10s","4",0
"60",1155000,"19m15s","4",0
"61",1160000,"19m20s","4",0
"62",1165000,"19m25s","4",0
"63",1170000,"19m30s","4",0
"64",1175000,"19m35s","4",0
"65",1180000,"19m40s","4",0
"66",1185000,"19m45s","4",0
"67",1275000,"21m15s","4",0
"68",1370000,"22m50s","4",0
"69",1375000,"22m55s","4",0
"70",1380000,"23m0s","4",0
"71",1525000,"25m25s","4",0
"72",1530000,"25m30s","4",0
"73",1790000,"29m50s","4",0
"74",1795000,"29m55s","4",0
"75",1800000,"30m0s","4",0
"76",1805000,"30m5s","4",0
"77",1810000,"30m10s","4",0
"78",1815000,"30m15s","4",0
"79",1820000,"30m20s","4",0
"80",1825000,"30m25s","4",0
"81",1830000,"30m30s","4",0
"82",1835000,"30m35s","4",0
