Frame.Number,Timestamp.ms,Max.Intensity,Min.Intensity
0,0,219,1
1,100,222,1
2,200,219,1
3,300,227,1
4,400,220,1
5,500,224,1
6,600,226,1
7,700,219,1
8,800,222,1
9,900,217,1
10,1000,216,1
11,1100,236,1
12,1200,222,12
13,1300,249,3
14,1400,251,2
15,1500,255,2
16,1600,255,2
17,1700,255,2
18,1800,255,2
19,1900,255,5
20,2000,254,2
21,2100,255,2
22,2200,254,2
23,2300,255,13
24,2400,255,11
25,2500,255,16
26,2600,255,16
27,2700,255,10
28,2800,255,9
29,2900,255,7
30,3000,255,11
31,3100,255,9
32,3200,246,5
33,3300,248,8
34,3400,255,10
35,3500,255,1
36,3600,255,9
37,3700,255,6
38,3800,255,6
39,3900,255,3
40,4000,255,6
41,4100,255,3
42,4200,255,2
43,4300,255,2
44,4400,255,3
45,4500,255,4
46,4600,255,4
47,4700,255,4
48,4800,255,4
49,4900,255,4
50,5000,255,7
51,5100,255,5
52,5200,255,4
53,5300,255,5
54,5400,255,4
55,5500,255,9
56,5600,255,6
57,5700,255,1
58,5800,255,0
59,5900,255,4
60,6000,255,3
61,6100,255,7
62,6200,255,5
63,6300,255,10
64,6400,255,7
65,6500,255,5
66,6600,255,8
67,6700,255,3
68,6800,255,4
69,6900,255,9
70,7000,255,3
71,7100,255,4
72,7200,255,12
73,7300,255,4
74,7400,255,4
75,7500,255,10
76,7600,255,0
77,7700,255,5
78,7800,255,1
79,7900,255,3
80,8000,255,4
81,8100,255,11
82,8200,255,18
83,8300,255,9
84,8400,255,11
85,8500,248,18
86,8600,251,16
87,8700,255,11
88,8800,247,12
89,8900,243,12
90,9000,254,12
91,9100,251,3
92,9200,255,9
93,9300,255,12
94,9400,255,12
95,9500,255,9
96,9600,254,12
97,9700,254,8
98,9800,254,11
99,9900,253,12
100,10000,255,15
101,10100,255,12
102,10200,254,5
103,10300,254,8
104,10400,255,10
105,10500,255,8
106,10600,254,5
107,10700,255,10
108,10800,255,5
109,10900,255,8
110,11000,254,9
111,11100,253,12
112,11200,252,16
113,11300,254,17
114,11400,254,12
115,11500,252,10
116,11600,255,4
117,11700,254,8
118,11800,252,5
119,11900,251,9
120,12000,251,8
121,12100,236,10
122,12200,241,7
123,12300,255,6
124,12400,254,7
125,12500,244,8
126,12600,245,7
127,12700,250,7
128,12800,247,5
129,12900,251,11
130,13000,251,5
131,13100,255,7
132,13200,254,8
133,13300,254,8
134,13400,252,0
135,13500,254,7
136,13600,254,3
137,13700,250,9
138,13800,245,0
139,13900,248,8
140,14000,251,6
141,14100,248,4
142,14200,247,7
143,14300,251,8
