"","Time.ms","Load","Time.min","Session"
"2",10000,4,"ms","T2S1"
"8",40000,4,"ms","T2S1"
"22",110000,0,"ms","T2S1"
"41",205000,4,"ms","T2S1"
"47",235000,0,"ms","T2S1"
"98",490000,4,"ms","T2S1"
"108",540000,0,"ms","T2S1"
"113",565000,0,"ms","T2S1"
"207",1035000,0,"ms","T2S1"
"210",1050000,0,"ms","T2S1"
"211",1055000,0,"ms","T2S1"
"212",1060000,0,"ms","T2S1"
"213",1065000,0,"ms","T2S1"
"214",1070000,0,"ms","T2S1"
"267",1335000,0,"ms","T2S1"
"275",1375000,4,"ms","T2S1"
"301",1505000,0,"ms","T2S1"
"310",1550000,0,"ms","T2S1"
"324",1620000,4,"ms","T2S1"
"358",1790000,0,"ms","T2S1"
"419",2095000,0,"ms","T2S1"
"420",2100000,0,"ms","T2S1"
"440",2200000,0,"ms","T2S1"
"492",2460000,4,"ms","T2S1"
"493",2465000,4,"ms","T2S1"
"513",2565000,0,"ms","T2S1"
"518",2590000,0,"ms","T2S1"
"519",2595000,0,"ms","T2S1"
"520",2600000,0,"ms","T2S1"
